Year,Age,Suicides
1981,10,0
1981,11,0
1981,12,2
1981,13,2
1981,14,1
1981,15,20
1981,16,31
1981,17,36
1981,18,49
1981,19,56
1981,20,58
1981,21,58
1981,22,62
1981,23,89
1981,24,77
1981,25,72
1981,26,69
1981,27,84
1981,28,87
1981,29,96
1981,30,98
1981,31,92
1981,32,92
1981,33,84
1981,34,84
1981,35,90
1981,36,93
1981,37,85
1981,38,98
1981,39,68
1981,40,85
1981,41,81
1981,42,89
1981,43,97
1981,44,87
1981,45,98
1981,46,63
1981,47,98
1981,48,88
1981,49,107
1981,50,112
1981,51,116
1981,52,106
1981,53,103
1981,54,100
1981,55,110
1981,56,107
1981,57,110
1981,58,112
1981,59,118
1981,60,123
1981,61,122
1981,62,75
1981,63,75
1981,64,84
1981,65,90
1981,66,78
1981,67,109
1981,68,101
1981,69,86
1981,70,74
1981,71,80
1981,72,87
1981,73,89
1981,74,87
1981,75,79
1981,76,65
1981,77,57
1981,78,55
1981,79,47
1981,80,40
1981,81,45
1981,82,29
1981,83,26
1981,84,23
1981,85,23
1981,86,14
1981,87,12
1981,88,7
1981,89,7
1982,10,0
1982,11,0
1982,12,0
1982,13,4
1982,14,3
1982,15,10
1982,16,24
1982,17,30
1982,18,35
1982,19,52
1982,20,73
1982,21,60
1982,22,58
1982,23,68
1982,24,82
1982,25,71
1982,26,92
1982,27,80
1982,28,86
1982,29,85
1982,30,71
1982,31,81
1982,32,98
1982,33,77
1982,34,101
1982,35,106
1982,36,86
1982,37,91
1982,38,82
1982,39,80
1982,40,72
1982,41,91
1982,42,82
1982,43,80
1982,44,97
1982,45,91
1982,46,96
1982,47,86
1982,48,89
1982,49,118
1982,50,79
1982,51,96
1982,52,111
1982,53,101
1982,54,95
1982,55,110
1982,56,124
1982,57,110
1982,58,90
1982,59,112
1982,60,95
1982,61,102
1982,62,106
1982,63,72
1982,64,83
1982,65,79
1982,66,96
1982,67,103
1982,68,95
1982,69,79
1982,70,88
1982,71,73
1982,72,86
1982,73,84
1982,74,86
1982,75,71
1982,76,66
1982,77,62
1982,78,56
1982,79,44
1982,80,43
1982,81,47
1982,82,35
1982,83,26
1982,84,30
1982,85,21
1982,86,24
1982,87,14
1982,88,12
1982,89,9
1983,10,0
1983,11,0
1983,12,0
1983,13,4
1983,14,4
1983,15,10
1983,16,16
1983,17,26
1983,18,48
1983,19,56
1983,20,72
1983,21,75
1983,22,67
1983,23,54
1983,24,78
1983,25,68
1983,26,73
1983,27,83
1983,28,70
1983,29,81
1983,30,65
1983,31,81
1983,32,85
1983,33,86
1983,34,78
1983,35,110
1983,36,93
1983,37,99
1983,38,99
1983,39,93
1983,40,97
1983,41,83
1983,42,84
1983,43,86
1983,44,84
1983,45,104
1983,46,77
1983,47,92
1983,48,80
1983,49,93
1983,50,91
1983,51,97
