SEASON,RANK,TEAM,G,W,L,DEF RTG,RTG vs. LEAGUE AVG
1996-97,1,Miami Heat,82,61,21,99.2,0.944948101
1996-97,2,New York Knicks,82,57,25,99.5,0.947805807
1996-97,3,Atlanta Hawks,82,56,26,100.3,0.955426357
1996-97,4,Chicago Bulls,82,69,13,100.7,0.959236631
1996-97,5,Cleveland Cavaliers,82,42,40,100.8,0.9601892
1996-97,6,Seattle SuperSonics,82,57,25,101,0.962094337
1996-97,7,Portland Trail Blazers,82,49,33,102.1,0.972572592
1996-97,8,Los Angeles Lakers,82,56,26,102.3,0.97447773
1996-97,9,Detroit Pistons,82,54,28,102.6,0.977335436
1996-97,10,Utah Jazz,82,64,18,102.6,0.977335436
1996-97,11,Houston Rockets,82,57,25,102.8,0.979240573
1996-97,12,Indiana Pacers,82,39,43,102.9,0.980193142
1996-97,13,Washington Bullets,82,44,38,103.7,0.987813691
1996-97,14,Orlando Magic,82,45,37,104.2,0.992576534
1996-97,15,Minnesota Timberwolves,82,40,42,105.5,1.004959926
1996-97,16,Dallas Mavericks,82,24,58,106,1.00972277
1996-97,17,Los Angeles Clippers,82,36,46,106.2,1.011627907
1996-97,18,Toronto Raptors,82,30,52,106.4,1.013533044
1996-97,19,Milwaukee Bucks,82,33,49,106.7,1.01639075
1996-97,20,Sacramento Kings,82,34,48,107,1.019248456
1996-97,21,Charlotte Hornets,82,54,28,107.1,1.020201025
1996-97,22,Phoenix Suns,82,40,42,107.1,1.020201025
1996-97,23,New Jersey Nets,82,26,56,107.2,1.021153593
1996-97,24,Philadelphia 76ers,82,22,60,109.5,1.043062672
1996-97,25,Denver Nuggets,82,21,61,109.7,1.04496781
1996-97,26,Vancouver Grizzlies,82,14,68,110.1,1.048778084
1996-97,27,Boston Celtics,82,15,67,110.1,1.048778084
1996-97,28,Golden State Warriors,82,30,52,110.3,1.050683222
1996-97,29,San Antonio Spurs,82,20,62,110.8,1.055446065
1996-97,,League Avg,,,,104.9793103,1
1997-98,1,Cleveland Cavaliers,82,47,35,97.5,0.943884364
1997-98,2,San Antonio Spurs,82,56,26,98,0.948724796
1997-98,3,Chicago Bulls,82,62,20,98.4,0.952597142
1997-98,4,New York Knicks,82,43,39,98.8,0.956469489
1997-98,5,Indiana Pacers,82,58,24,99.5,0.963246094
1997-98,6,Miami Heat,82,55,27,100.5,0.97292696
1997-98,7,Phoenix Suns,82,56,26,100.6,0.973895046
1997-98,8,Portland Trail Blazers,82,46,36,100.8,0.975831219
1997-98,9,Detroit Pistons,82,37,45,101.8,0.985512084
1997-98,10,Orlando Magic,82,41,41,102.2,0.98938443
1997-98,11,Los Angeles Lakers,82,61,21,102.3,0.990352517
1997-98,12,Seattle SuperSonics,82,61,21,102.3,0.990352517
1997-98,13,Atlanta Hawks,82,50,32,102.5,0.99228869
1997-98,14,Washington Wizards,82,42,40,103.2,0.999065296
1997-98,15,Charlotte Hornets,82,51,31,103.3,1.000033382
1997-98,16,Philadelphia 76ers,82,31,51,103.3,1.000033382
1997-98,17,Golden State Warriors,82,19,63,103.5,1.001969555
1997-98,18,Boston Celtics,82,36,46,103.5,1.001969555
1997-98,19,Milwaukee Bucks,82,36,46,103.7,1.003905728
1997-98,20,Utah Jazz,82,62,20,103.8,1.004873815
1997-98,21,New Jersey Nets,82,43,39,104.3,1.009714248
1997-98,22,Sacramento Kings,82,27,55,105,1.016490853
1997-98,23,Dallas Mavericks,82,20,62,105.2,1.018427026
1997-98,24,Minnesota Timberwolves,82,45,37,105.5,1.021331286
1997-98,25,Houston Rockets,82,41,41,106.8,1.033916411
1997-98,26,Toronto Raptors,82,16,66,108.9,1.054246228
1997-98,27,Los Angeles Clippers,82,17,65,109.6,1.061022833
1997-98,28,Vancouver Grizzlies,82,19,63,110.2,1.066831353
1997-98,29,Denver Nuggets,82,11,71,110.6,1.070703699
1997-98,,League Avg,,,,103.2965517,1
1998-99,1,San Antonio Spurs,50,37,13,93.6,0.932238898
1998-99,2,Atlanta Hawks,50,31,19,95.3,0.949170588
1998-99,3,Philadelphia 76ers,50,28,22,95.5,0.951162551
1998-99,4,New York Knicks,50,27,23,95.9,0.955146478
1998-99,5,Portland Trail Blazers,50,35,15,96.2,0.958134423
1998-99,6,Orlando Magic,50,33,17,96.3,0.959130405
1998-99,7,Utah Jazz,50,37,13,96.7,0.963114332
1998-99,8,Miami Heat,50,33,17,97.1,0.967098259
1998-99,9,Detroit Pistons,50,29,21,98.4,0.980046021
1998-99,10,Golden State Warriors,50,21,29,98.9,0.98502593
1998-99,11,Minnesota Timberwolves,50,25,25,99.4,0.990005839
1998-99,12,Cleveland Cavaliers,50,22,28,100.1,0.996977711
1998-99,13,Charlotte Hornets,50,26,24,100.4,0.999965656
1998-99,14,Boston Celtics,50,19,31,100.8,1.003949583
1998-99,15,Houston Rockets,50,31,19,101,1.005941546
1998-99,16,Milwaukee Bucks,50,28,22,101.2,1.00793351
1998-99,17,New Jersey Nets,50,16,34,101.2,1.00793351
1998-99,18,Sacramento Kings,50,27,23,101.6,1.011917437
1998-99,19,Phoenix Suns,50,27,23,101.6,1.011917437
1998-99,20,Chicago Bulls,50,13,37,101.7,1.012913418
1998-99,21,Toronto Raptors,50,23,27,101.8,1.0139094
1998-99,22,Washington Wizards,50,18,32,102.1,1.016897345
